P( IN | <s> )  =  0.2
P( while | IN )  =  0.041666666666666664
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( NN | DT )  =  0.5581395348837209
P( listener | NN )  =  0.06976744186046512
P( VBZ | NN )  =  0.12244897959183673
P( is | VBZ )  =  0.1836734693877551
P( VBG | VBZ )  =  0.1111111111111111
P( aiming | VBG )  =  0.05555555555555555
P( TO | VBG )  =  0.25
P( to | TO )  =  2.125
P( VB | TO )  =  0.6842105263157895
P( get | VB )  =  0.05263157894736842
P( DT | VB )  =  0.2608695652173913
P( a | DT )  =  0.30434782608695654
P( JJ | DT )  =  0.11627906976744186
P( complete | JJ )  =  0.023255813953488372
P( CC | JJ )  =  0.06666666666666667
P( and | CC )  =  0.23333333333333334
P( JJ | CC )  =  0.2222222222222222
P( specific | JJ )  =  0.05555555555555555
P( NN | JJ )  =  0.23333333333333334
P( understanding | NN )  =  0.03333333333333333
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( WP | IN )  =  0.022222222222222223
P( what | WP )  =  0.022222222222222223
P( DT | WP )  =  1.0
P( the | DT )  =  25.0
P( NN | DT )  =  0.5581395348837209
P( speaker | NN )  =  0.11627906976744186
P( VBZ | NN )  =  0.12244897959183673
P( is | VBZ )  =  0.1836734693877551
P( VBG | VBZ )  =  0.1111111111111111
P( trying | VBG )  =  0.05555555555555555
P( TO | VBG )  =  0.25
P( to | TO )  =  2.125
P( VB | TO )  =  0.6842105263157895
P( say | VB )  =  0.05263157894736842
P( . | VB )  =  0.043478260869565216
P( . | . )  =  0.6521739130434783
P( CC | <s> )  =  0.13333333333333333
P( But | CC )  =  0.13333333333333333
P( IN | CC )  =  0.05555555555555555
P( as | IN )  =  0.2777777777777778
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( NNS | DT )  =  0.06976744186046512
P( researchers | NNS )  =  0.06976744186046512
P( VBP | NNS )  =  0.02702702702702703
P( write | VBP )  =  0.02702702702702703
P( , | VBP )  =  0.14285714285714285
P( , | , )  =  3.4285714285714284
P( PRP | , )  =  0.125
P( it | PRP )  =  0.16666666666666666
P( VBZ | PRP )  =  0.4
P( is | VBZ )  =  0.9
P( `` | VBZ )  =  0.05555555555555555
P( `` | `` )  =  0.4444444444444444
P( RB | `` )  =  0.1111111111111111
P( cognitively | RB )  =  0.1111111111111111
P( JJR | RB )  =  0.11764705882352941
P( cheaper | JJR )  =  0.058823529411764705
P( '' | JJR )  =  0.16666666666666666
P( '' | '' )  =  1.3333333333333333
P( TO | '' )  =  0.1111111111111111
P( to | TO )  =  1.8888888888888888
P( VB | TO )  =  0.6842105263157895
P( have | VB )  =  0.15789473684210525
P( DT | VB )  =  0.2608695652173913
P( the | DT )  =  1.0869565217391304
P( NN | DT )  =  0.5581395348837209
P( listener | NN )  =  0.06976744186046512
P( VB | NN )  =  0.04081632653061224
P( infer | VB )  =  0.04081632653061224
P( JJ | VB )  =  0.08695652173913043
P( certain | JJ )  =  0.08695652173913043
P( NNS | JJ )  =  0.3333333333333333
P( things | NNS )  =  0.03333333333333333
P( IN | NNS )  =  0.2702702702702703
P( from | IN )  =  0.02702702702702703
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( NN | DT )  =  0.5581395348837209
P( context | NN )  =  0.06976744186046512
P( IN | NN )  =  0.22448979591836735
P( than | IN )  =  0.04081632653061224
P( TO | IN )  =  0.044444444444444446
P( to | TO )  =  0.37777777777777777
P( VB | TO )  =  0.6842105263157895
P( have | VB )  =  0.15789473684210525
P( DT | VB )  =  0.2608695652173913
P( the | DT )  =  1.0869565217391304
P( NN | DT )  =  0.5581395348837209
P( speaker | NN )  =  0.11627906976744186
P( VB | NN )  =  0.04081632653061224
P( spend | VB )  =  0.02040816326530612
P( NN | VB )  =  0.043478260869565216
P( time | NN )  =  0.043478260869565216
P( IN | NN )  =  0.22448979591836735
P( on | IN )  =  0.04081632653061224
P( RBR | IN )  =  0.022222222222222223
P( longer | RBR )  =  0.022222222222222223
P( CC | RBR )  =  0.3333333333333333
P( and | CC )  =  2.3333333333333335
P( RBR | CC )  =  0.05555555555555555
P( more | RBR )  =  0.1111111111111111
P( VBN | RBR )  =  0.3333333333333333
P( complicated | VBN )  =  0.3333333333333333
P( NNS | VBN )  =  0.14285714285714285
P( utterances | NNS )  =  0.14285714285714285
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( DT | <s> )  =  0.2
P( The | DT )  =  0.13333333333333333
P( NN | DT )  =  0.5581395348837209
P( result | NN )  =  0.023255813953488372
P( VBZ | NN )  =  0.12244897959183673
P( is | VBZ )  =  0.1836734693877551
P( DT | VBZ )  =  0.2222222222222222
P( a | DT )  =  0.3888888888888889
P( NN | DT )  =  0.5581395348837209
P( system | NN )  =  0.046511627906976744
P( WDT | NN )  =  0.02040816326530612
P( that | WDT )  =  0.061224489795918366
P( VBZ | WDT )  =  0.25
P( skews | VBZ )  =  0.25
P( IN | VBZ )  =  0.1111111111111111
P( toward | IN )  =  0.05555555555555555
P( NNP | IN )  =  0.08888888888888889
P( ambiguity | NNP )  =  0.08888888888888889
P( , | NNP )  =  0.3333333333333333
P( , | , )  =  2.0
P( VBG | , )  =  0.041666666666666664
P( reusing | VBG )  =  0.041666666666666664
P( DT | VBG )  =  0.25
P( the | DT )  =  3.125
P( `` | DT )  =  0.046511627906976744
P( `` | `` )  =  0.18604651162790697
P( JJ | `` )  =  0.1111111111111111
P( easiest | JJ )  =  0.1111111111111111
P( '' | JJ )  =  0.03333333333333333
P( '' | '' )  =  0.26666666666666666
P( NNS | '' )  =  0.1111111111111111
P( words | NNS )  =  0.7777777777777778
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( IN | <s> )  =  0.2
P( Once | IN )  =  0.06666666666666667
P( NN | IN )  =  0.15555555555555556
P( context | NN )  =  0.06666666666666667
P( VBZ | NN )  =  0.12244897959183673
P( is | VBZ )  =  0.1836734693877551
P( VBN | VBZ )  =  0.16666666666666666
P( considered | VBN )  =  0.05555555555555555
P( , | VBN )  =  0.14285714285714285
P( , | , )  =  3.4285714285714284
P( PRP | , )  =  0.125
P( it | PRP )  =  0.16666666666666666
P( VBZ | PRP )  =  0.4
P( 's | VBZ )  =  0.2
P( JJ | VBZ )  =  0.1111111111111111
P( clear | JJ )  =  0.05555555555555555
P( IN | JJ )  =  0.13333333333333333
P( that | IN )  =  0.13333333333333333
P( `` | IN )  =  0.022222222222222223
P( `` | `` )  =  0.17777777777777778
P( NNP | `` )  =  0.1111111111111111
P( ambiguity | NNP )  =  0.4444444444444444
P( VBZ | NNP )  =  0.3333333333333333
P( is | VBZ )  =  0.75
P( RB | VBZ )  =  0.1111111111111111
P( actually | RB )  =  0.05555555555555555
P( NN | RB )  =  0.058823529411764705
P( something | NN )  =  0.11764705882352941
P( PRP | NN )  =  0.02040816326530612
P( you | PRP )  =  0.02040816326530612
P( MD | PRP )  =  0.3
P( would | MD )  =  0.1
P( VB | MD )  =  0.8333333333333334
P( want | VB )  =  0.16666666666666666
P( IN | VB )  =  0.13043478260869565
P( in | IN )  =  0.17391304347826086
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( NN | DT )  =  0.5581395348837209
P( communication | NN )  =  0.023255813953488372
P( NN | NN )  =  0.04081632653061224
P( system | NN )  =  0.04081632653061224
P( , | NN )  =  0.08163265306122448
P( , | , )  =  0.4897959183673469
P( '' | , )  =  0.041666666666666664
P( '' | '' )  =  0.3333333333333333
P( NNP | '' )  =  0.1111111111111111
P( Piantadosi | NNP )  =  0.2222222222222222
P( VBZ | NNP )  =  0.3333333333333333
P( says | VBZ )  =  0.08333333333333333
P( . | VBZ )  =  0.05555555555555555
P( . | . )  =  0.8333333333333334
